customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3486326916,Female,0,No,No,39.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),27.46,1012.66,No
3301589560,Male,0,No,No,46.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),34.27,1654.08,No
3357438605,Female,0,Yes,No,9.0,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Electronic check,28.08,247.35,No
3972778110,Female,0,Yes,Yes,14.0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,40.29,553.0,Yes
2826958457,Male,0,No,Yes,3.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Mailed check,19.14,53.18,No
3839507327,Female,0,Yes,No,16.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),17.41,275.43,No
377030940,Female,0,No,Yes,45.0,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,26.56,1285.53,No
2400511071,Female,1,No,No,6.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,65.05,395.98,Yes
3388012693,Male,0,No,No,66.0,No,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),28.27,1928.48,Yes
1170509006,Male,0,Yes,No,12.0,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),35.97,474.68,No
3554231400,Male,0,Yes,No,12.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,30.39,384.18,Yes
1695726915,Female,0,No,No,64.0,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,One year,Yes,Electronic check,51.34,3480.15,Yes
3255489751,Female,0,Yes,No,15.0,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,41.57,581.63,Yes
3307004944,Female,0,No,Yes,18.0,No,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),40.17,760.26,No
2863866761,Male,1,Yes,No,23.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),23.89,508.62,No
2616401023,Male,0,Yes,No,34.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,One year,Yes,Electronic check,44.31,1503.54,No
3343751088,Female,0,Yes,Yes,22.0,No,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,43.49,887.93,No
1894768430,Male,0,Yes,Yes,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Electronic check,65.7,2377.91,No
1867064052,Female,0,No,No,37.0,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Mailed check,40.91,1652.22,No
521026989,Female,0,No,No,31.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,26.97,797.56,No
2565945096,Female,0,No,No,17.0,Yes,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),46.08,825.23,No
1012521988,Male,0,No,Yes,72.0,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Electronic check,23.2,,Yes
3067570130,Female,0,Yes,Yes,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,44.53,3251.16,Yes
929643772,Female,1,Yes,No,57.0,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,46.07,2621.43,No
535944823,Female,0,No,Yes,30.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,33.33,939.68,No
2385078790,Male,0,Yes,No,15.0,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,38.64,593.15,No
1316170989,Male,1,Yes,No,22.0,No,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),23.17,505.88,No
48713488,Male,0,Yes,No,8.0,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,40.66,325.1,Yes
870801392,Male,1,No,No,54.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,32.03,1735.04,Yes
1856613147,Female,0,Yes,No,38.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,23.85,876.89,No
873938099,Female,0,Yes,No,19.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,26.99,517.47,No
3244970784,Female,0,No,No,15.0,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,56.6,768.88,No
1667552240,Male,0,No,No,31.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,59.52,1829.84,Yes
405528773,Male,0,Yes,No,16.0,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,38.45,673.68,No
3815343421,Male,1,No,Yes,6.0,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Electronic check,52.39,318.34,No
473447635,Male,1,Yes,No,12.0,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,44.0,574.04,Yes
432674023,Male,1,Yes,Yes,37.0,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),31.08,1074.17,No
2780809696,Male,0,Yes,No,37.0,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),40.19,1470.81,No
2776046542,Male,0,Yes,No,21.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,25.01,476.38,Yes
3598551732,Female,0,Yes,No,72.0,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),47.83,3349.08,No
3594883598,Male,0,No,No,20.0,No,No,Fiber optic,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),53.06,1135.97,Yes
873899871,Female,0,Yes,No,46.0,No,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),39.46,1809.34,No
2714814184,Female,0,No,Yes,20.0,Yes,No,DSL,No,No,No,No,Yes,No,One year,No,Mailed check,33.52,689.79,Yes
400957798,Male,0,Yes,Yes,10.0,No,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,30.48,274.9,No
4145508707,Female,0,Yes,Yes,16.0,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Two year,No,Mailed check,60.08,975.28,No
1820543436,Female,0,No,No,39.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),16.01,671.78,No
3654612117,Male,0,No,Yes,33.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),62.15,1968.48,No
1741070823,Male,0,Yes,No,25.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,50.56,1244.26,Yes
1680773871,Female,1,Yes,Yes,34.0,No,No,DSL,No,No,Yes,No,No,No,Two year,No,Mailed check,32.65,1211.65,No
4099392837,Male,0,No,No,31.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,40.46,1313.3,No
3234318189,Male,0,Yes,No,34.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),57.99,1977.02,No
674759226,Male,0,No,No,34.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),19.53,658.02,No
2584827925,Female,0,No,No,39.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Electronic check,61.62,2412.92,No
3626798358,Female,0,Yes,No,9.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),34.61,307.85,Yes
2793729262,Female,0,No,No,72.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,29.64,1961.61,Yes
3040557629,Female,0,Yes,Yes,29.0,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,63.13,1851.81,Yes
2673950862,Male,0,No,No,62.0,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),49.59,3357.15,No
1924344351,Female,0,No,No,29.0,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Two year,No,Electronic check,64.39,1758.28,No
1727021537,Male,0,No,Yes,31.0,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),49.76,1529.51,No
155149792,Male,1,No,No,16.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),24.67,405.31,No
120259339,Female,1,No,No,18.0,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),36.39,664.85,Yes
2134505521,Male,0,Yes,No,4.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),19.66,78.55,No
1157006248,Female,0,Yes,No,72.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,16.54,1224.17,No
61856726,Female,0,Yes,No,55.0,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),45.14,2680.38,No
3931975452,Female,0,Yes,No,16.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,42.74,667.17,No
4232645796,Female,1,No,Yes,27.0,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Mailed check,34.76,1023.86,No
848676714,Female,0,No,No,39.0,Yes,No,No,No,No,No,No,No,No,One year,No,Electronic check,15.19,639.25,No
1935380660,Male,1,No,No,10.0,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Two year,Yes,Mailed check,58.79,546.37,No
2750648536,Male,0,Yes,Yes,14.0,Yes,Yes,DSL,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),37.75,552.37,No
348104379,Male,0,Yes,No,25.0,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),39.62,988.12,No
2092680201,Male,0,Yes,Yes,65.0,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),48.27,3009.02,Yes
3804504281,Male,1,No,Yes,15.0,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,17.2,278.08,No
851153128,Female,0,Yes,Yes,40.0,Yes,No,DSL,No,Yes,No,No,Yes,No,Two year,Yes,Electronic check,40.71,1581.0,No
3537758744,Male,0,Yes,Yes,72.0,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,17.48,1244.07,No
2908859156,Male,0,Yes,No,56.0,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),36.72,1906.88,Yes
3499881493,Male,0,No,No,9.0,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,16.99,155.57,No
4225209245,Male,0,Yes,Yes,18.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,42.93,791.82,Yes
685583481,Female,0,No,No,25.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,Yes,Credit card (automatic),41.84,1138.09,No
905226452,Female,0,Yes,No,14.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),56.06,779.82,No
3523090237,Female,0,Yes,Yes,50.0,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,57.18,2990.44,No
4029918007,Female,0,No,Yes,8.0,Yes,No,DSL,No,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),38.76,307.27,No
1139560829,Male,0,No,Yes,16.0,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),32.05,528.02,No
2541278674,Female,0,No,No,34.0,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),20.31,659.5,No
4271882889,Male,1,Yes,No,26.0,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,24.65,676.2,Yes
